node_id,label,node_type,source_docs,attributes_json
doc_steel_cbam.json,Steel Supply Chain & CBAM Risk,document,doc_steel_cbam.json,"{""doc_type"": ""supply_chain_graph""}"
doc_taiwan_supplier.json,TaiwanChip-3 Supplier Profile,document,doc_taiwan_supplier.json,"{""doc_type"": ""supplier_profile""}"
ElectroVan EV Battery Pack,ElectroVan EV Battery Pack,entity,doc_ev_battery_chain.json,{}
JapanMag Co,JapanMag Co,entity,doc_novatech_router.json,"{""tier"": 3, ""location"": ""Osaka, Japan"", ""output"": ""permanent magnets"", ""input"": ""rare earths from MongoliaRE"", ""geopolitical_risk"": 2.0, ""export_control_risk"": 3, ""sanctions_risk"": 1}"
MongoliaRE Ltd,MongoliaRE Ltd,entity,doc_novatech_router.json,"{""tier"": 3, ""location"": ""Ulaanbaatar, Mongolia"", ""output"": ""rare earth minerals"", ""geopolitical_risk"": 5.7, ""export_control_risk"": 7, ""sanctions_risk"": 4, ""downstream_dependents"": 7, ""qualified_alternates"": [""MP Materials (USA, partial)"", ""Lynas Rare Earths (Australia, partial)""]}"
SingaporeRF Inc,SingaporeRF Inc,entity,doc_novatech_router.json,"{""tier"": 2, ""location"": ""Singapore"", ""output"": ""RF modules"", ""input"": ""permanent magnets from JapanMag"", ""ip_provenance"": ""RISC-V cores licensed from Chinese IP vendor"", ""geopolitical_risk"": 2.3, ""export_control_risk"": 4, ""sanctions_risk"": 1}"
Vietnam PCB Factory,Vietnam PCB Factory,entity,doc_novatech_router.json,"{""tier"": 2, ""location"": ""Ho Chi Minh City, Vietnam"", ""output"": ""PCB assemblies"", ""input"": ""RF modules from SingaporeRF"", ""geopolitical_risk"": 3.7, ""export_control_risk"": 5, ""sanctions_risk"": 2}"
FoodCorp USA,FoodCorp USA,food_manufacturer,doc_foodcorp_packaging.json,"{""type"": ""food_manufacturer"", ""packaging_inventory_days"": 45, ""packaging_source"": ""PackPlast Vietnam (primary)""}"
Hurricane Harvey 2017,Hurricane Harvey 2017,historical_event,doc_houston_petrochem.json,"{""event"": ""Hurricane Harvey 2017"", ""downtime_weeks"": 6, ""price_spike_ethylene_pct"": 40}"
HealthSystem UK,HealthSystem UK,hospital_procurement,doc_medequip_bom.json,"{""type"": ""hospital_procurement"", ""contractual_reserve_units"": 500, ""safety_stock_days"": 30, ""replenishment_model"": ""monthly""}"
Houston Petrochem Complex,Houston Petrochem Complex,industrial_cluster,doc_houston_petrochem.json,"{""type"": ""industrial_cluster"", ""location"": ""Houston, Texas, USA"", ""pct_US_petrochemical_output"": 0.35, ""key_chemicals_produced"": [""ethylene"", ""propylene"", ""benzene"", ""butadiene"", ""ethylene oxide"", ""propylene glycol""], ""downstream_industries"": {""plastics"": {""chemicals"": [""ethylene"", ""propylene""], ""impact"": ""HIGH""}, ""automotive"": {""chemicals"": [""synthetic rubber (butadiene)"", ""nylon""], ""impact"": ""HIGH""}, ""pharmaceuticals"": {""chemicals"": [""ethylene oxide"", ""propylene glycol""], ""impact"": ""MEDIUM-HIGH""}}, ""natural_disaster_risk"": ""CRITICAL (hurricane corridor, flood zone)"", ""historical_disruptions"": [{""event"": ""Hurricane Harvey 2017"", ""downtime_weeks"": 6, ""price_spike_ethylene_pct"": 40}], ""typical_recovery_weeks"": {""partial"": 4, ""full"": 8}}"
Automotive,Automotive,industry,doc_houston_petrochem.json,"{""chemicals"": [""synthetic rubber (butadiene)"", ""nylon""], ""impact"": ""HIGH""}"
European_Automotive,European_Automotive,industry,doc_shanghai_port.json,"{""days_to_impact"": 14, ""reason"": ""safety stock 2-3 weeks""}"
Indian_Textiles,Indian_Textiles,industry,doc_shanghai_port.json,"{""days_to_impact"": 25, ""reason"": ""partial domestic alternatives""}"
Pharmaceuticals,Pharmaceuticals,industry,doc_houston_petrochem.json,"{""chemicals"": [""ethylene oxide"", ""propylene glycol""], ""impact"": ""MEDIUM-HIGH""}"
Plastics,Plastics,industry,doc_houston_petrochem.json,"{""chemicals"": [""ethylene"", ""propylene""], ""impact"": ""HIGH""}"
Us_Consumer_Electronics,Us_Consumer_Electronics,industry,doc_shanghai_port.json,"{""days_to_impact"": 7, ""reason"": ""JIT, thin buffer""}"
Port of Shanghai,Port of Shanghai,logistics_chokepoint,doc_shanghai_port.json;doc_shipping_routes.json,"{""type"": ""logistics_chokepoint"", ""location"": ""Shanghai, China"", ""annual_TEU"": 47000000, ""pct_asia_pacific_exports"": 0.4, ""key_dependent_industries"": [""consumer electronics"", ""automotive"", ""textiles"", ""machinery""], ""risk_events"": [{""type"": ""COVID lockdown"", ""historical"": ""2022 (6-week closure)"", ""impact"": ""global supply shock""}, {""type"": ""typhoon"", ""probability"": ""MEDIUM""}, {""type"": ""geopolitical blockade"", ""probability"": ""LOW""}], ""downstream_impact_by_industry"": {""US_consumer_electronics"": {""days_to_impact"": 7, ""reason"": ""JIT, thin buffer""}, ""European_automotive"": {""days_to_impact"": 14, ""reason"": ""safety stock 2-3 weeks""}, ""Indian_textiles"": {""days_to_impact"": 25, ""reason"": ""partial domestic alternatives""}}, ""name"": ""Port of Shanghai"", ""throughput_TEU_per_week"": 1000000, ""risk"": ""HIGH (weather, regulatory, COVID-type lockdowns)""}"
MaerskLogistics,MaerskLogistics,logistics_provider,doc_maersk_cyber.json,"{""type"": ""logistics_provider"", ""vessels_operated"": 120, ""ports_served"": [""Rotterdam"", ""Singapore"", ""Los Angeles"", ""Hamburg""], ""historical_incident"": ""NotPetya 2017 — $300M loss, 10-day operational disruption""}"
AlphaBot GmbH,AlphaBot GmbH,manufacturer,doc_semiconductor_tariff.json;doc_taiwan_supplier.json,"{""type"": ""manufacturer"", ""china_chip_dependency_pct"": 100, ""alternatives"": [], ""location"": ""Munich, Germany"", ""products"": [""industrial robots"", ""collaborative arms""], ""chip_dependency_pct"": 100, ""chip_source"": ""TaiwanChip-3 (sole source)"", ""safety_stock_days"": 21}"
AutoNova Inc,AutoNova Inc,manufacturer,doc_ev_battery_chain.json,"{""type"": ""manufacturer"", ""tier"": 1, ""location"": ""Wolfsburg, Germany"", ""products"": [""ElectroVan EV"", ""ElectroVan EV Battery Pack""], ""input_components"": [""lithium-ion cells from KoreanCell Co""], ""battery_pack_per_vehicle"": 1, ""eu_battery_regulation_compliance"": ""IN PROGRESS (2026 deadline)"", ""safety_stock_days"": 30}"
MedEquip Ltd,MedEquip Ltd,manufacturer,doc_medequip_bom.json,"{""location"": ""Dublin, Ireland""}"
NovaTech Systems,NovaTech Systems,manufacturer,doc_novatech_router.json;doc_semiconductor_tariff.json;doc_taiwan_supplier.json,"{""tier"": 1, ""location"": ""Warsaw, Poland"", ""output"": ""5G Router"", ""input"": ""PCBs from Vietnam PCB Factory"", ""geopolitical_risk"": 2.0, ""export_control_risk"": 2, ""sanctions_risk"": 1, ""customer"": ""US Department of Defense (among others)"", ""type"": ""manufacturer"", ""china_chip_dependency_pct"": 80, ""alternatives"": []}"
RoboFlex Ltd,RoboFlex Ltd,manufacturer,doc_semiconductor_tariff.json;doc_taiwan_supplier.json,"{""type"": ""manufacturer"", ""china_chip_dependency_pct"": 40, ""alternatives"": [""EUChip GmbH (partial)""], ""location"": ""Lyon, France"", ""products"": [""industrial robotic arms"", ""grippers""], ""chip_dependency_pct"": 60, ""chip_sources"": {""TaiwanChip-3"": 0.6, ""EUChip GmbH"": 0.4}, ""safety_stock_days"": 18}"
ScandiTool AB,ScandiTool AB,manufacturer,doc_semiconductor_tariff.json,"{""type"": ""manufacturer"", ""location"": ""Gothenburg, Sweden"", ""china_chip_dependency_pct"": 15, ""alternatives"": [""South Korean supplier (85%)""]}"
"Halifax, Canada","Halifax, Canada",origin,doc_shipping_routes.json,{}
"Mumbai, India","Mumbai, India",origin,doc_shipping_routes.json,{}
"Santos, Brazil","Santos, Brazil",origin,doc_shipping_routes.json,{}
PackPlast Vietnam,PackPlast Vietnam,packaging_supplier,doc_foodcorp_packaging.json,"{""type"": ""packaging_supplier"", ""location"": ""Hanoi, Vietnam"", ""certifications"": [], ""iso_22000_status"": ""NOT CERTIFIED"", ""customers"": [""FoodCorp USA"", ""PharmaPack EU""]}"
PharmaPack EU,PharmaPack EU,pharma_manufacturer,doc_foodcorp_packaging.json,"{""type"": ""pharma_manufacturer"", ""location"": ""Brussels, Belgium"", ""packaging_inventory_days"": 10, ""packaging_source"": ""PackPlast Vietnam (primary)""}"
Port of Los Angeles / Long Beach,Port of Los Angeles / Long Beach,port_complex,doc_la_port_strike.json,"{""type"": ""port_complex"", ""pct_US_container_imports"": 0.4, ""weekly_TEU_capacity"": 500000, ""key_import_categories"": [""electronics"", ""toys"", ""apparel"", ""furniture"", ""automotive parts""], ""diversion_ports"": [{""port"": ""Port of Savannah"", ""additional_days"": 7, ""cost_premium_pct"": 15}, {""port"": ""Port of NY/NJ"", ""additional_days"": 9, ""cost_premium_pct"": 18}], ""historical_disruption"": ""2002 lockout (10 days) — $1B/day economic impact"", ""seasonal_risk"": ""October-November (peak pre-holiday import season)""}"
MK-7 Ventilator,MK-7 Ventilator,product,doc_medequip_bom.json,{}
NovaTech 5G Router,NovaTech 5G Router,product,doc_novatech_router.json,{}
ChileMine Ltd,ChileMine Ltd,raw_material_supplier,doc_ev_battery_chain.json,"{""type"": ""raw_material_supplier"", ""tier"": 3, ""location"": ""Atacama Desert, Chile"", ""materials"": [""lithium carbonate"", ""lithium hydroxide""], ""annual_output_tonnes"": 45000, ""key_dependencies"": [""Chilean government water permits"", ""Atacama water table levels""], ""geopolitical_risk_score"": 6.2, ""environmental_risk"": ""HIGH (water scarcity, indigenous land disputes)"", ""export_regions"": [""South Korea"", ""Japan"", ""China""]}"
EU_Battery_Regulation_2023,EU_Battery_Regulation_2023,regulation,doc_ev_battery_chain.json,"{""effective"": ""2026"", ""requirements"": [""full supply chain carbon disclosure"", ""recycled content thresholds"", ""water usage reporting""], ""compliance_gap"": ""ChileMine water usage data not yet disclosed""}"
EU CBAM,EU CBAM,regulatory_event,doc_steel_cbam.json,"{""name"": ""EU CBAM"", ""effective"": ""2026"", ""impact"": ""carbon tariff on non-EU steel/aluminum imports"", ""estimated_cost_increase_pct"": ""8-15""}"
ISO 22000 Mandate,ISO 22000 Mandate,regulatory_event,doc_foodcorp_packaging.json,"{""regulation"": ""ISO 22000 Mandate"", ""deadline_months"": 12, ""consequence"": ""export license revocation for non-compliant suppliers""}"
Chile water restriction 6 months,Chile water restriction 6 months,risk_event,doc_ev_battery_chain.json,"{""event"": ""Chile water restriction 6 months"", ""probability"": ""MEDIUM"", ""nodes_affected"": [""ChileMine Ltd"", ""KoreanCell Co"", ""AutoNova Inc""], ""propagation_days"": [0, 30, 60]}"
KoreanCell cyberattack on OT,KoreanCell cyberattack on OT,risk_event,doc_ev_battery_chain.json,"{""event"": ""KoreanCell cyberattack on OT"", ""probability"": ""LOW-MEDIUM"", ""impact"": ""HIGH""}"
Magnitude 6+ earthquake,Magnitude 6+ earthquake,risk_event,doc_taiwan_supplier.json,"{""event"": ""Magnitude 6+ earthquake"", ""probability"": ""MEDIUM"", ""impact"": ""HIGH""}"
Taiwan Strait tension,Taiwan Strait tension,risk_event,doc_taiwan_supplier.json,"{""event"": ""Taiwan Strait tension"", ""probability"": ""MEDIUM"", ""impact"": ""CRITICAL""}"
Typhoon season disruption,Typhoon season disruption,risk_event,doc_taiwan_supplier.json,"{""event"": ""Typhoon season disruption"", ""probability"": ""HIGH"", ""impact"": ""MEDIUM""}"
R1,R1,route,doc_shipping_routes.json,"{""from"": ""Mumbai, India"", ""to"": ""Hamburg, Germany"", ""via"": ""Suez Canal"", ""distance_km"": 11000, ""normal_days"": 18, ""cost_usd_per_1000t"": 420000, ""carbon_kg_per_tonne_km"": 0.015}"
R2,R2,route,doc_shipping_routes.json,"{""from"": ""Mumbai, India"", ""to"": ""Hamburg, Germany"", ""via"": ""Cape of Good Hope"", ""distance_km"": 19500, ""normal_days"": 32, ""cost_usd_per_1000t"": 650000, ""carbon_kg_per_tonne_km"": 0.015}"
R3,R3,route,doc_shipping_routes.json,"{""from"": ""Halifax, Canada"", ""to"": ""Hamburg, Germany"", ""via"": ""North Atlantic"", ""distance_km"": 6200, ""normal_days"": 14, ""cost_usd_per_1000t"": 310000}"
R4,R4,route,doc_shipping_routes.json,"{""from"": ""Santos, Brazil"", ""to"": ""Hamburg, Germany"", ""via"": ""South Atlantic"", ""distance_km"": 9800, ""normal_days"": 21, ""cost_usd_per_1000t"": 380000}"
R5,R5,route,doc_shipping_routes.json,"{""from"": ""Mumbai, India"", ""to"": ""Gothenburg, Sweden"", ""via"": ""Suez Canal"", ""distance_km"": 11800, ""normal_days"": 19}"
R6,R6,route,doc_shipping_routes.json,"{""from"": ""Mumbai, India"", ""to"": ""New York, USA"", ""via"": ""Suez + Atlantic"", ""distance_km"": 14200, ""normal_days"": 23}"
BrazilSteel,BrazilSteel,supplier,doc_shipping_routes.json;doc_steel_cbam.json,"{""type"": ""steel_producer"", ""location"": ""Volta Redonda, Brazil"", ""ownership"": ""PRIVATE (nationalization risk flagged)"", ""geopolitical_risk"": 4.0}"
CanAlum Canada,CanAlum Canada,supplier,doc_shipping_routes.json;doc_steel_cbam.json,"{""type"": ""aluminum_producer"", ""location"": ""Quebec, Canada"", ""output_tonnes_pa"": 3000000, ""geopolitical_risk"": 1.5}"
EUChip GmbH,EUChip GmbH,supplier,doc_semiconductor_tariff.json;doc_taiwan_supplier.json,"{""type"": ""supplier"", ""location"": ""Dresden, Germany"", ""geopolitical_risk"": 2.0, ""surge_capacity_multiplier"": 1.6}"
GermanSens GmbH,GermanSens GmbH,supplier,doc_medequip_bom.json,{}
PetroChemSA Brazil,PetroChemSA Brazil,supplier,doc_medequip_bom.json,{}
RussiaMetals Corp,RussiaMetals Corp,supplier,doc_medequip_bom.json,{}
SteelCo India,SteelCo India,supplier,doc_shipping_routes.json;doc_steel_cbam.json,"{""type"": ""steel_producer"", ""location"": ""Jamshedpur, India"", ""output_tonnes_pa"": 8000000, ""eu_export_pct"": 0.6, ""green_steel_readiness"": ""LOW (BF-BOF primary)"", ""geopolitical_risk"": 3.5}"
TaiwanChip-3,TaiwanChip-3,supplier,doc_medequip_bom.json;doc_semiconductor_tariff.json;doc_taiwan_supplier.json,"{""type"": ""supplier"", ""location"": ""Taiwan"", ""geopolitical_risk"": 5.5, ""surge_capacity_multiplier"": 1.0, ""tier"": 2, ""components_supplied"": [""GPU chips"", ""microcontrollers"", ""application processors""], ""annual_capacity_wafers"": 120000, ""certifications"": [""ISO 9001"", ""IATF 16949""], ""geopolitical_risk_score"": 5.5, ""natural_disaster_risk"": ""HIGH (seismic zone, typhoon corridor)"", ""export_control_flag"": true, ""backup_suppliers"": [""EUChip GmbH (partial, 40% capacity cover)""], ""customers"": [""AlphaBot GmbH"", ""RoboFlex Ltd"", ""NovaTech Systems""]}"
